onset	duration	accuracy	block	num_rules	rules	logic	phase
4.000	8.976	1	1	2	"Low"	"Non-Logic"	"Problem"
16.018	1.966	1	1	2	"Low"	"Non-Logic"	"Choice"
24.008	14.773	0	1	4	"High"	"Logic"	"Problem"
41.993	1.972	0	1	4	"High"	"Logic"	"Choice"
56.016	13.276	0	1	1	"Low"	"Logic"	"Problem"
80.019	2.568	0	1	1	"Low"	"Logic"	"Choice"
94.009	10.748	1	1	4	"High"	"Non-Logic"	"Problem"
114.016	2.793	1	1	4	"High"	"Non-Logic"	"Choice"
122.023	14.507	0	1	4	"High"	"Logic"	"Problem"
146.008	2.833	0	1	4	"High"	"Logic"	"Choice"
159.999	18.761	0	1	4	"High"	"Non-Logic"	"Problem"
181.995	2.494	0	1	4	"High"	"Non-Logic"	"Choice"
190.002	5.582	1	1	1	"Low"	"Non-Logic"	"Problem"
200.014	1.297	1	1	1	"Low"	"Non-Logic"	"Choice"
214.021	17.403	0	1	2	"Low"	"Logic"	"Problem"
242.018	1.789	0	1	2	"Low"	"Logic"	"Choice"
4.000	20.992	0	2	1	"Low"	"Logic"	"Problem"
30.008	1.536	0	2	1	"Low"	"Logic"	"Choice"
37.998	6.453	1	2	2	"Low"	"Non-Logic"	"Problem"
53.994	1.434	1	2	2	"Low"	"Non-Logic"	"Choice"
68.001	11.351	1	2	3	"High"	"Non-Logic"	"Problem"
83.980	1.491	1	2	3	"High"	"Non-Logic"	"Choice"
97.987	7.476	0	2	3	"High"	"Logic"	"Problem"
115.989	4.000	0	2	3	"High"	"Logic"	"Choice"
126.001	20.192	1	2	3	"High"	"Non-Logic"	"Problem"
156.004	1.830	1	2	3	"High"	"Non-Logic"	"Choice"
169.994	18.225	0	2	2	"Low"	"Logic"	"Problem"
192.008	1.706	0	2	2	"Low"	"Logic"	"Choice"
205.998	21.678	0	2	3	"High"	"Logic"	"Problem"
232.006	1.024	0	2	3	"High"	"Logic"	"Choice"
239.996	7.642	0	2	1	"Low"	"Non-Logic"	"Problem"
257.981	2.239	0	2	1	"Low"	"Non-Logic"	"Choice"
266.004	20.841	1	2	4	"High"	"Logic"	"Problem"
295.990	1.597	1	2	4	"High"	"Logic"	"Choice"
